city;state
Catarroja;Valencia
Catí;Castellón
Catllar, El;Tarragona
Catoira;Pontevedra
Catral;Alicante
Caudete;Albacete
Caudete de las Fuentes;Valencia
Caudiel;Castellón
Cava;Lleida
Cavia;Burgos
Cayuela;Burgos
Cazalegas;Toledo
Cazalilla;Jaén
Cazalla de la Sierra;Sevilla
Cazorla;Jaén
Cazurra;Zamora
Cea;León
Cebanico;León
Cebolla;Toledo
Cebrecos;Burgos
Cebreros;Ávila
Cebrones del Río;León
Ceclavín;Cáceres
Cedeira;A Coruña
Cedillo;Cáceres
Cedillo de la Torre;Segovia
Cedillo del Condado;Toledo
Cedrillas;Teruel
Cee;A Coruña
Cehegín;Murcia
Ceinos de Campos;Valladolid
Celada del Camino;Burgos
Celadas;Teruel
Celanova;Ourense
Cella;Teruel
Cellera de Ter, La;Girona
Cellorigo;La Rioja
Celrà;Girona
Cendea de Olza/Oltza Zendea;Navarra
Cendejas de Enmedio;Guadalajara
Cendejas de la Torre;Guadalajara
Cenes de la Vega;Granada
Cenicero;La Rioja
Cenicientos;Madrid
Cenizate;Albacete
Cenlle;Ourense
Centelles;Barcelona
Centenera;Guadalajara
Centenera de Andaluz;Soria
Cepeda;Salamanca
Cepeda la Mora;Ávila
Cerbón;Soria
Cerceda;A Coruña
Cercedilla;Madrid
Cercs;Barcelona
Cerdà;Valencia
Cerdanyola del Vallès;Barcelona
Cerdedo;Pontevedra
Cerdido;A Coruña
Cereceda de la Sierra;Salamanca
Cerecinos de Campos;Zamora
Cerecinos del Carrizal;Zamora
Cerezal de Peñahorcada;Salamanca
Cerezo;Cáceres
Cerezo de Abajo;Segovia
Cerezo de Arriba;Segovia
Cerezo de Río Tirón;Burgos
Cernadilla;Zamora
Cerollera, La;Teruel
Cerralbo;Salamanca
Cerralbos, Los;Toledo
Cerratón de Juarros;Burgos
Cerro de Andévalo, El;Huelva
Cerro, El;Salamanca
Cervantes;Lugo
Cervatos de la Cueza;Palencia
Cervelló;Barcelona
Cervera;Lleida
Cervera de Buitrago;Madrid
Cervera de la Cañada;Zaragoza
Cervera de los Montes;Toledo
Cervera de Pisuerga;Palencia
Cervera del Llano;Cuenca
Cervera del Maestre;Castellón
Cervera del Río Alhama;La Rioja
Cerveruela;Zaragoza
Cervià de les Garrigues;Lleida
Cervià de Ter;Girona
Cervillego de la Cruz;Valladolid
Cervo;Lugo
Cespedosa de Tormes;Salamanca
Cesuras;A Coruña
Cetina;Zaragoza
Ceuta;Ceuta
Ceutí;Murcia
Cevico de la Torre;Palencia
Cevico Navero;Palencia
Chagarcía Medianero;Salamanca
Chalamera;Huesca
Chamartín;Ávila
Chandrexa de Queixa;Ourense
Chantada;Lugo
Chañe;Segovia
Chapinería;Madrid
Chauchina;Granada
Checa;Guadalajara
Cheles;Badajoz
Chella;Valencia
Chelva;Valencia
Chequilla;Guadalajara
Chera;Valencia
Chercos;Almería
Chert/Xert;Castellón
Cheste;Valencia
Chía;Huesca
Chiclana de la Frontera;Cádiz
Chiclana de Segura;Jaén
Chilches/Xilxes;Castellón
Chillarón de Cuenca;Cuenca
Chillarón del Rey;Guadalajara
Chillón;Ciudad Real
Chilluévar;Jaén
Chiloeches;Guadalajara
Chimeneas;Granada
Chimillas;Huesca
Chinchilla de Monte-Aragón;Albacete
Chinchón;Madrid
Chipiona;Cádiz
Chiprana;Zaragoza
Chirivel;Almería
Chiva;Valencia
Chodes;Zaragoza
Chodos/Xodos;Castellón
Chóvar;Castellón
Chozas de Abajo;León
Chozas de Canales;Toledo
Chucena;Huelva
Chueca;Toledo
Chulilla;Valencia
Chumillas;Cuenca
Churriana de la Vega;Granada
Ciadoncha;Burgos
Cidamón;La Rioja
Cidones;Soria
Ciempozuelos;Madrid
Cierva, La;Cuenca
Cieza;Murcia
Cieza;Cantabria
Cifuentes;Guadalajara
Cigales;Valladolid
Cigudosa;Soria
Ciguñuela;Valladolid
Cihuela;Soria
Cihuri;La Rioja
Cijuela;Granada
Cillán;Ávila
Cillaperlata;Burgos
Cilleros;Cáceres
Cilleros de la Bastida;Salamanca
Cilleruelo de Abajo;Burgos
Cilleruelo de Arriba;Burgos
Cilleruelo de San Mamés;Segovia
Cillorigo de Liébana;Cantabria
Cimanes de la Vega;León
Cimanes del Tejar;León
Cimballa;Zaragoza
Cinco Olivas;Zaragoza
Cincovillas;Guadalajara
Cinctorres;Castellón
Cintruénigo;Navarra
Cipérez;Salamanca
Cirat;Castellón
Cirauqui/Zirauki;Navarra
Ciria;Soria
Ciriza;Navarra
Ciruelas;Guadalajara
Ciruelos;Toledo
Ciruelos de Cervera;Burgos
Ciruelos del Pinar;Guadalajara
Cirueña;La Rioja
Cirujales del Río;Soria
Cisla;Ávila
Cisneros;Palencia
Cistella;Girona
Cistérniga;Valladolid
Cistierna;León
Ciudad Real;Ciudad Real
Ciudad Rodrigo;Salamanca
Ciutadella de Menorca;Islas Baleares
Ciutadilla;Lleida
Cizur;Navarra
Clarés de Ribota;Zaragoza
Clariana de Cardener;Lleida
Clavijo;La Rioja
Coaña;Asturias
Cóbdar;Almería
Cobeja;Toledo
Cobeña;Madrid
Cobeta;Guadalajara
Cobisa;Toledo
Cobos de Cerrato;Palencia
Cobos de Fuentidueña;Segovia
Cobreros;Zamora
Coca;Segovia
Coca de Alba;Salamanca
Cocentaina;Alicante
Codo;Zaragoza
Codoñera, La;Teruel
Codorniz;Segovia
Codos;Zaragoza
Codosera, La;Badajoz
Cofrentes;Valencia
Cogeces de Íscar;Valladolid
Cogeces del Monte;Valladolid
Cogollor;Guadalajara
Cogollos;Burgos
Cogollos de Guadix;Granada
Cogollos de la Vega;Granada
Cogolludo;Guadalajara
Cogul, El;Lleida
Coín;Málaga
Coirós;A Coruña
Colera;Girona
Coles;Ourense
Colilla, La;Ávila
Colindres;Cantabria
Coll de Nargó;Lleida
Collado;Cáceres
Collado de Contreras;Ávila
Collado del Mirón;Ávila
Collado Hermoso;Segovia
Collado Mediano;Madrid
Collado Villalba;Madrid
Collazos de Boedo;Palencia
Collbató;Barcelona
Colldejou;Tarragona
Collsuspina;Barcelona
Colmenar;Málaga
Colmenar de Montemayor;Salamanca
Colmenar de Oreja;Madrid
Colmenar del Arroyo;Madrid
Colmenar Viejo;Madrid
Colmenarejo;Madrid
Colomera;Granada
Colomers;Girona
Colunga;Asturias
Colungo;Huesca
Coma i la Pedra, La;Lleida
Comares;Málaga
Comillas;Cantabria
Cómpeta;Málaga
Conca de Dalt;Lleida
Condado de Castilnovo;Segovia
Condado de Treviño;Burgos
Condemios de Abajo;Guadalajara
Condemios de Arriba;Guadalajara
Conesa;Tarragona
Confrides;Alicante
Congosto;León
Congosto de Valdavia;Palencia
Congostrina;Guadalajara
Conil de la Frontera;Cádiz
Conquista;Córdoba
Conquista de la Sierra;Cáceres
Consell;Islas Baleares
Constantí;Tarragona
Constantina;Sevilla
Constanzana;Ávila
Consuegra;Toledo
Contamina;Zaragoza
Contreras;Burgos
Coomonte;Zamora
Copernal;Guadalajara
Copons;Barcelona
Corbalán;Teruel
Corbera;Valencia
Corbera de Llobregat;Barcelona
Corbera d'Ebre;Tarragona
Corbillos de los Oteros;León
Corbins;Lleida
Corçà;Girona
Corcos;Valladolid
Corcubión;A Coruña
Córdoba;Córdoba
Cordobilla de Lácara;Badajoz
Cordovilla;Salamanca
Cordovilla la Real;Palencia
Cordovín;La Rioja
Corduente;Guadalajara
Corella;Navarra
Corera;La Rioja
Coreses;Zamora
Corgo, O;Lugo
Coria;Cáceres
Coria del Río;Sevilla
Coripe;Sevilla
Coristanco;A Coruña
Cornago;La Rioja
Cornellà de Llobregat;Barcelona
Cornellà del Terri;Girona
Cornudella de Montsant;Tarragona
Coronada, La;Badajoz
Coronil, El;Sevilla
Corpa;Madrid
Corporales;La Rioja
Corral de Almaguer;Toledo
Corral de Ayllón;Segovia
Corral de Calatrava;Ciudad Real
Corrales de Buelna, Los;Cantabria
Corrales de Duero;Valladolid
Corrales del Vino;Zamora
Corrales, Los;Sevilla
Corral-Rubio;Albacete
Corte de Peleas;Badajoz
Corteconcepción;Huelva
Cortegada;Ourense
Cortegana;Huelva
Cortelazor;Huelva
Cortes;Navarra
Cortes de Aragón;Teruel
Cortes de Arenoso;Castellón
Cortes de Baza;Granada
Cortes de la Frontera;Málaga
Cortes de Pallás;Valencia
Cortes y Graena;Granada
Cortijos, Los;Ciudad Real
Corullón;León
Coruña del Conde;Burgos
Coruña, A;A Coruña
Corvera de Asturias;Asturias
Corvera de Toranzo;Cantabria
Cosa;Teruel
Coscurita;Soria
Coslada;Madrid
Cospeito;Lugo
Costitx;Islas Baleares
Costur;Castellón
Cosuenda;Zaragoza
Cotanes del Monte;Zamora
Cotes;Valencia
Cotillas;Albacete
Cotobade;Pontevedra
Covaleda;Soria
Covarrubias;Burgos
Covelo;Pontevedra
Coves de Vinromà, les;Castellón
Cox;Alicante
Cózar;Ciudad Real
Cozuelos de Fuentidueña;Segovia
Crecente;Pontevedra
Creixell;Tarragona
Crémenes;León
Crespià;Girona
Crespos;Ávila
Cretas;Teruel
Crevillent;Alicante
Cristina;Badajoz
Cristóbal;Salamanca
Crivillén;Teruel
Cruïlles, Monells i Sant Sadurní de l'Heura;Girona
Cuacos de Yuste;Cáceres
Cuadros;León
Cualedro;Ourense
Cuarte de Huerva;Zaragoza
Cuba, La;Teruel
Cubas de la Sagra;Madrid
Cubel;Zaragoza
Cubelles;Barcelona
Cubells;Lleida
Cubilla;Soria
Cubillas de Cerrato;Palencia
Cubillas de los Oteros;León
Cubillas de Rueda;León
Cubillas de Santa Marta;Valladolid
Cubillo;Segovia
Cubillo de Uceda, El;Guadalajara
Cubillo del Campo;Burgos
Cubillos;Zamora
Cubillos del Sil;León
Cubla;Teruel
Cubo de Benavente;Zamora
Cubo de Bureba;Burgos
Cubo de Don Sancho, El;Salamanca
Cubo de la Solana;Soria
Cubo de Tierra del Vino, El;Zamora
Cucalón;Teruel
Cudillero;Asturias
Cuelgamures;Zamora
Cuéllar;Segovia
Cuenca;Cuenca
Cuenca de Campos;Valladolid
Cuerlas, Las;Zaragoza
Cuerva;Toledo
Cuervo de Sevilla, El;Sevilla
Cuervo, El;Teruel
Cueva de Ágreda;Soria
Cueva de Roa, La;Burgos
Cueva del Hierro;Cuenca
Cuevas Bajas;Málaga
Cuevas de Almudén;Teruel
Cuevas de Provanco;Segovia
Cuevas de San Clemente;Burgos
Cuevas de San Marcos;Málaga
Cuevas del Almanzora;Almería
Cuevas del Becerro;Málaga
Cuevas del Campo;Granada
Cuevas del Valle;Ávila
Cuevas Labradas;Teruel
Culla;Castellón
Cúllar;Granada
Cúllar Vega;Granada
Cullera;Valencia
Culleredo;A Coruña
Cumbre, La;Cáceres
Cumbres de Enmedio;Huelva
Cumbres de San Bartolomé;Huelva
Cumbres Mayores;Huelva
Cunit;Tarragona
Cuntis;Pontevedra
Curiel de Duero;Valladolid
Curtis;A Coruña
Cútar;Málaga
Cuzcurrita de Río Tirón;La Rioja
Daganzo de Arriba;Madrid
Daimiel;Ciudad Real
Daimús;Valencia
Dalías;Almería
Darnius;Girona
Daroca;Zaragoza
Daroca de Rioja;La Rioja
Darro;Granada
Das;Girona
Daya Nueva;Alicante
Daya Vieja;Alicante
Deba;Gipuzkoa
Degaña;Asturias
Dehesa de Montejo;Palencia
Dehesa de Romanos;Palencia
Dehesas de Guadix;Granada
Deifontes;Granada
Deleitosa;Cáceres
Deltebre;Tarragona
Dénia;Alicante
Derio;Vizcaya
Descargamaría;Cáceres
Desojo;Navarra
Destriana;León
Dévanos;Soria
Deyá;Islas Baleares
Deza;Soria
Dicastillo;Navarra
Diego del Carpio;Ávila
Diezma;Granada
Dílar;Granada
Dima;Vizcaya
Dios le Guarde;Salamanca
Dodro;A Coruña
Dólar;Granada
Dolores;Alicante
Domeño;Valencia
Domingo García;Segovia
Domingo Pérez;Toledo
Don Álvaro;Badajoz
Don Benito;Badajoz
Donamaria;Navarra
Doneztebe/Santesteban;Navarra
Donhierro;Segovia
Donjimeno;Ávila
Donostia-San Sebastián;Gipuzkoa
Donvidas;Ávila
Doña Mencía;Córdoba
Doñinos de Ledesma;Salamanca
Doñinos de Salamanca;Salamanca
Dos Aguas;Valencia
Dos Hermanas;Sevilla
Dos Torres;Córdoba
Dosbarrios;Toledo
Dosrius;Barcelona
Dozón;Pontevedra
Driebes;Guadalajara
Dúdar;Granada
Dueñas;Palencia
Duesaigües;Tarragona
Dumbría;A Coruña
Durango;Vizcaya
Dúrcal;Granada
Durón;Guadalajara
Duruelo;Segovia
Duruelo de la Sierra;Soria
Ea;Vizcaya
Echarri;Navarra
Écija;Sevilla
Egüés;Navarra
Eibar;Gipuzkoa
Eivissa;Islas Baleares
Ejea de los Caballeros;Zaragoza
Ejeme;Salamanca
Ejido, El;Almería
Ejulve;Teruel
Elantxobe;Vizcaya
Elburgo/Burgelu;Álava
Elche de la Sierra;Albacete
Elche/Elx;Alicante
Elciego;Álava
Elda;Alicante
Elduain;Gipuzkoa
Elgeta;Gipuzkoa
Elgoibar;Gipuzkoa
Elgorriaga;Navarra
Eliana, l';Valencia
Eljas;Cáceres
Elorrio;Vizcaya
Elvillar/Bilar;Álava
Embid;Guadalajara
Embid de Ariza;Zaragoza
Emperador;Valencia
Encina de San Silvestre;Salamanca
Encina, La;Salamanca
Encinacorba;Zaragoza
Encinas;Segovia
Encinas de Abajo;Salamanca
Encinas de Arriba;Salamanca
Encinas de Esgueva;Valladolid
Encinas Reales;Córdoba
Encinasola;Huelva
Encinasola de los Comendadores;Salamanca
Encinedo;León
Encinillas;Segovia
Encío;Burgos
Enciso;La Rioja
Endrinal;Salamanca
Enériz/Eneritz;Navarra
Enguera;Valencia
Enguídanos;Cuenca
Enix;Almería
Ènova, l';Valencia
Entrala;Zamora
Entrambasaguas;Cantabria
Entrena;La Rioja
Entrimo;Ourense
Entrín Bajo;Badajoz
Épila;Zaragoza
Erandio;Vizcaya
Eratsun;Navarra
Ercina, La;León
Ereño;Vizcaya
Ergoiena;Navarra
Erla;Zaragoza
Ermua;Vizcaya
Errenteria;Gipuzkoa
Errezil;Gipuzkoa
Erriberagoitia/Ribera Alta;Álava
Errigoiti;Vizcaya
Erro;Navarra
Erustes;Toledo
Escacena del Campo;Huelva
Escala, L';Girona
Escalante;Cantabria
Escalona;Toledo
Escalona del Prado;Segovia
Escalonilla;Toledo
Escamilla;Guadalajara
Escañuela;Jaén
Escarabajosa de Cabezas;Segovia
Escariche;Guadalajara
Escatrón;Zaragoza
Escobar de Campos;León
Escobar de Polendos;Segovia
Escobosa de Almazán;Soria
Escopete;Guadalajara
Escorca;Islas Baleares
Escorial, El;Madrid
Escorihuela;Teruel
Escucha;Teruel
Escurial;Cáceres
Escurial de la Sierra;Salamanca
Escúzar;Granada
Esgos;Ourense
Esguevillas de Esgueva;Valladolid
Eskoriatza;Gipuzkoa
Eslava;Navarra
Eslida;Castellón
Espadaña;Salamanca
Espadañedo;Zamora
Espadilla;Castellón
Esparragalejo;Badajoz
Esparragosa de la Serena;Badajoz
Esparragosa de Lares;Badajoz
Esparreguera;Barcelona
Espartinas;Sevilla
Esparza de Salazar/Espartza Zaraitzu;Navarra
Espeja;Salamanca
Espeja de San Marcelino;Soria
Espejo;Córdoba
Espejón;Soria
Espelúy;Jaén
Espera;Cádiz
Espiel;Córdoba
Espinar, El;Segovia
Espinelves;Girona
Espino de la Orbada;Salamanca
Espinosa de Cerrato;Palencia
Espinosa de Cervera;Burgos
Espinosa de Henares;Guadalajara
Espinosa de los Caballeros;Ávila
Espinosa de los Monteros;Burgos
Espinosa de Villagonzalo;Palencia
Espinosa del Camino;Burgos
Espinoso del Rey;Toledo
Espirdo;Segovia
Esplegares;Guadalajara
Espluga Calba, L';Lleida
Espluga de Francolí, L';Tarragona
Esplugues de Llobregat;Barcelona
Esplús;Huesca
Espolla;Girona
Esponellà;Girona
Esporles;Islas Baleares
Espot;Lleida
Espronceda;Navarra
Espunyola, L';Barcelona
Esquivias;Toledo
Establés;Guadalajara
Estada;Huesca
Estadilla;Huesca
Estamariu;Lleida
Estany, L';Barcelona
Estaràs;Lleida
Estella/Lizarra;Navarra
Estellencs;Islas Baleares
Estepa;Sevilla
Estepa de San Juan;Soria
Estépar;Burgos
Estepona;Málaga
Estercuel;Teruel
Esteribar;Navarra
Esterri d'Àneu;Lleida
Esterri de Cardós;Lleida
Estivella;Valencia
Estollo;La Rioja
Estopiñán del Castillo;Huesca
Estrada, A;Pontevedra
Estrella, La;Toledo
Estremera;Madrid
Estriégana;Guadalajara
Estubeny;Valencia
Etayo;Navarra
Etxalar;Navarra
Etxarri-Aranatz;Navarra
Etxauri;Navarra
Etxebarri;Vizcaya
Etxebarria;Vizcaya
Eulate;Navarra
Ezcabarte;Navarra
Ezcaray;La Rioja
Ezcároz/Ezkaroze;Navarra
Ezkio-Itsaso;Gipuzkoa
Ezkurra;Navarra
Ezprogui;Navarra
Fabara;Zaragoza
Fabero;León
Facheca;Alicante
Fago;Huesca
Falces;Navarra
Falset;Tarragona
Famorca;Alicante
Fanlo;Huesca
Fanzara;Castellón
Far d'Empordà, El;Girona
Faraján;Málaga
Faramontanos de Tábara;Zamora
Fariza;Zamora
Farlete;Zaragoza
Farrera;Lleida
Fasnia;Sta. Cruz de Tenerife
Fatarella, La;Tarragona
Faura;Valencia
Favara;Valencia
Fayón;Zaragoza
Fayos, Los;Zaragoza
Febró, La;Tarragona
Felanitx;Islas Baleares
Felix;Almería
Fene;A Coruña
Férez;Albacete
Feria;Badajoz
Fermoselle;Zamora
Fernán Caballero;Ciudad Real
Fernán-Núñez;Córdoba
Ferreira;Granada
Ferreras de Abajo;Zamora
Ferreras de Arriba;Zamora
Ferreries;Islas Baleares
Ferreruela;Zamora
Ferreruela de Huerva;Teruel
Ferrol;A Coruña
Figaró-Montmany;Barcelona
Fígols;Barcelona
Fígols i Alinyà;Lleida
Figuera, La;Tarragona
Figueres;Girona
Figuerola del Camp;Tarragona
Figueroles;Castellón
Figueruela de Arriba;Zamora
Figueruelas;Zaragoza
Fines;Almería
Finestrat;Alicante
Fiñana;Almería
Firgas;Las Palmas
Fiscal;Huesca
Fisterra;A Coruña
Fitero;Navarra
Flaçà;Girona
Flix;Tarragona
Flores de Ávila;Ávila
Floresta, La;Lleida
Florida de Liébana;Salamanca
Fogars de la Selva;Barcelona
Fogars de Montclús;Barcelona
Foios;Valencia
Foixà;Girona
Folgoso de la Ribera;León
Folgoso do Courel;Lugo
Folgueroles;Barcelona
Fombellida;Valladolid
Fombuena;Zaragoza
Fompedraza;Valladolid
Foncea;La Rioja
Fondarella;Lleida
Fondó de les Neus, el/Hondón de las Nieves;Alicante
Fondón;Almería
Fonelas;Granada
Fonfría;Teruel
Fonfría;Zamora
Fonollosa;Barcelona
Fonsagrada, A;Lugo
Font de la Figuera, la;Valencia
Font d'En Carròs, la;Valencia
Fontanals de Cerdanya;Girona
Fontanar;Guadalajara
Fontanarejo;Ciudad Real
Fontanars dels Alforins;Valencia
Fontanilles;Girona
Fontcoberta;Girona
Fontellas;Navarra
Fontihoyuelo;Valladolid
Fontioso;Burgos
Fontiveros;Ávila
Font-rubí;Barcelona
Fonz;Huesca
Fonzaleche;La Rioja
Foradada;Lleida
Foradada del Toscar;Huesca
Forallac;Girona
Forcall;Castellón
Forcarei;Pontevedra
Forès;Tarragona
Forfoleda;Salamanca
Formentera;Islas Baleares
Formentera del Segura;Alicante
Formiche Alto;Teruel
Fornalutx;Islas Baleares
Fornells de la Selva;Girona
Fornelos de Montes;Pontevedra
Fórnoles;Teruel
Fortaleny;Valencia
Fortanete;Teruel
Fortià;Girona
Fortuna;Murcia
Forua;Vizcaya
Foz;Lugo
Foz-Calanda;Teruel
Frades;A Coruña
Frades de la Sierra;Salamanca
Fraga;Huesca
Frago, El;Zaragoza
Frailes;Jaén
Franco, El;Asturias
Frandovínez;Burgos
Franqueses del Vallès, Les;Barcelona
Frasno, El;Zaragoza
Frechilla;Palencia
Frechilla de Almazán;Soria
Fregenal de la Sierra;Badajoz
Fregeneda, La;Salamanca
Freginals;Tarragona
Freila;Granada
Fréscano;Zaragoza
Fresneda de Altarejos;Cuenca
Fresneda de Cuéllar;Segovia
Fresneda de la Sierra;Cuenca
Fresneda de la Sierra Tirón;Burgos
Fresneda, La;Teruel
Fresnedilla;Ávila
Fresnedillas de la Oliva;Madrid
Fresnedoso;Salamanca
Fresnedoso de Ibor;Cáceres
Fresneña;Burgos
Fresnillo de las Dueñas;Burgos
Fresno Alhándiga;Salamanca
Fresno de Cantespino;Segovia
Fresno de Caracena;Soria
Fresno de la Fuente;Segovia
Fresno de la Polvorosa;Zamora
Fresno de la Ribera;Zamora
Fresno de la Vega;León
Fresno de Río Tirón;Burgos
Fresno de Rodilla;Burgos
Fresno de Sayago;Zamora
Fresno de Torote;Madrid
Fresno del Río;Palencia
Fresno el Viejo;Valladolid
Fresno, El;Ávila
Frías;Burgos
Frías de Albarracín;Teruel
Friera de Valverde;Zamora
Frigiliana;Málaga
Friol;Lugo
Frómista;Palencia
Frontera;Sta. Cruz de Tenerife
Frontera, La;Cuenca
Fruiz;Vizcaya
Frumales;Segovia
Fuembellida;Guadalajara
Fuencaliente;Ciudad Real
Fuencaliente de la Palma;Sta. Cruz de Tenerife
Fuencemillán;Guadalajara
Fuendejalón;Zaragoza
Fuendetodos;Zaragoza
Fuenferrada;Teruel
Fuengirola;Málaga
Fuenlabrada;Madrid
Fuenlabrada de los Montes;Badajoz
Fuenllana;Ciudad Real
Fuenmayor;La Rioja
Fuensaldaña;Valladolid
Fuensalida;Toledo
Fuensanta;Albacete
Fuensanta de Martos;Jaén
Fuente Álamo de Murcia;Murcia
Fuente de Cantos;Badajoz
Fuente de Pedro Naharro;Cuenca
Fuente de Piedra;Málaga
Fuente de San Esteban, La;Salamanca
Fuente de Santa Cruz;Segovia
Fuente del Arco;Badajoz
Fuente del Maestre;Badajoz
Fuente el Fresno;Ciudad Real
Fuente el Olmo de Fuentidueña;Segovia
Fuente el Olmo de Íscar;Segovia
Fuente el Saúz;Ávila
Fuente el Saz de Jarama;Madrid
Fuente el Sol;Valladolid
Fuente Encalada;Zamora
Fuente la Lancha;Córdoba
Fuente la Reina;Castellón
Fuente Obejuna;Córdoba
Fuente Palmera;Córdoba
Fuente Vaqueros;Granada
Fuente-Álamo;Albacete
Fuentealbilla;Albacete
Fuentearmegil;Soria
Fuentebureba;Burgos
Fuentecambrón;Soria
Fuentecantos;Soria
Fuentecén;Burgos
Fuenteguinaldo;Salamanca
Fuenteheridos;Huelva
Fuentelahiguera de Albatages;Guadalajara
Fuentelapeña;Zamora
Fuentelcésped;Burgos
Fuentelencina;Guadalajara
Fuentelespino de Haro;Cuenca
Fuentelespino de Moya;Cuenca
Fuenteliante;Salamanca
Fuentelisendo;Burgos
Fuentelmonge;Soria
Fuentelsaz;Guadalajara
Fuentelsaz de Soria;Soria
Fuentelviejo;Guadalajara
Fuentemolinos;Burgos
Fuentenava de Jábaga;Cuenca
Fuentenebro;Burgos
Fuentenovilla;Guadalajara
Fuente-Olmedo;Valladolid
Fuentepelayo;Segovia
Fuentepinilla;Soria
Fuentepiñel;Segovia
Fuenterrebollo;Segovia
Fuenterroble de Salvatierra;Salamanca
Fuenterrobles;Valencia
Fuentes;Cuenca
Fuentes Calientes;Teruel
Fuentes Claras;Teruel
Fuentes de Andalucía;Sevilla
Fuentes de Año;Ávila
Fuentes de Ayódar;Castellón
Fuentes de Béjar;Salamanca
Fuentes de Carbajal;León
Fuentes de Ebro;Zaragoza
Fuentes de Jiloca;Zaragoza
Fuentes de León;Badajoz
Fuentes de Magaña;Soria
Fuentes de Nava;Palencia
Fuentes de Oñoro;Salamanca
Fuentes de Ropel;Zamora
Fuentes de Rubielos;Teruel
Fuentes de Valdepero;Palencia
Fuentesaúco;Zamora
Fuentesaúco de Fuentidueña;Segovia
Fuentesecas;Zamora
Fuentesoto;Segovia
Fuentespalda;Teruel
Fuentespina;Burgos
Fuentespreadas;Zamora
Fuentestrún;Soria
Fuente-Tójar;Córdoba
Fuentidueña;Segovia
Fuentidueña de Tajo;Madrid
Fuerte del Rey;Jaén
Fuertescusa;Cuenca
Fueva, La;Huesca
Fuliola, La;Lleida
Fulleda;Lleida
Funes;Navarra
Fustiñana;Navarra
Gabaldón;Cuenca
Gabias, Las;Granada
Gabiria;Gipuzkoa
Gádor;Almería
Gaià;Barcelona
Gaianes;Alicante
Gaibiel;Castellón
Gaintza;Gipuzkoa
Gajanejos;Guadalajara
Gajates;Salamanca
Galapagar;Madrid
Galápagos;Guadalajara
Galar;Navarra
Galaroza;Huelva
Galbarros;Burgos
Galbárruli;La Rioja
Galdakao;Vizcaya
Galdames;Vizcaya
Gáldar;Las Palmas
Galende;Zamora
Galera;Granada
Galera, La;Tarragona
Galilea;La Rioja
Galindo y Perahuy;Salamanca
Galinduste;Salamanca
Galisancho;Salamanca
Galisteo;Cáceres
Gallardos, Los;Almería
Gallega, La;Burgos
Gallegos;Segovia
Gallegos de Altamiros;Ávila
Gallegos de Argañán;Salamanca
Gallegos de Hornija;Valladolid
Gallegos de Sobrinos;Ávila
Gallegos de Solmirón;Salamanca
Gallegos del Pan;Zamora
Gallegos del Río;Zamora
Gallifa;Barcelona
Gallinero de Cameros;La Rioja
Gallipienzo/Galipentzu;Navarra
Gallocanta;Zaragoza
Gallués/Galoze;Navarra
Gallur;Zaragoza
Galve;Teruel
Galve de Sorbe;Guadalajara
Gálvez;Toledo
Gamiz-Fika;Vizcaya
Gamones;Zamora
Gandesa;Tarragona
Gandia;Valencia
Garaballa;Cuenca
Garachico;Sta. Cruz de Tenerife
Garafía;Sta. Cruz de Tenerife
Garai;Vizcaya
Garaioa;Navarra
Garbayuela;Badajoz
Garcia;Tarragona
Garciaz;Cáceres
Garcibuey;Salamanca
Garcihernández;Salamanca
Garcillán;Segovia
Garciotum;Toledo
Garcirrey;Salamanca
Garde;Navarra
Gargallo;Teruel
Garganta de los Montes;Madrid
Garganta del Villar;Ávila
Garganta la Olla;Cáceres
Garganta, La;Cáceres
Gargantilla;Cáceres
Gargantilla del Lozoya y Pinilla de Buitrago;Madrid
Gargüera;Cáceres
Garidells, Els;Tarragona
Garínoain;Navarra
Garlitos;Badajoz
Garrafe de Torío;León
Garralda;Navarra
Garray;Soria
Garriga, La;Barcelona
Garrigàs;Girona
Garrigoles;Girona
Garriguella;Girona
Garrobo, El;Sevilla
Garrovilla, La;Badajoz
Garrovillas de Alconétar;Cáceres
Garrucha;Almería
Garvín;Cáceres
Gascones;Madrid
Gascueña;Cuenca
Gascueña de Bornova;Guadalajara
Gastor, El;Cádiz
Gata;Cáceres
Gata de Gorgos;Alicante
Gatika;Vizcaya
Gatón de Campos;Valladolid
Gátova;Valencia
Gaucín;Málaga
Gautegiz Arteaga;Vizcaya
Gavà;Barcelona
Gavarda;Valencia
Gavet de la Conca;Lleida
Gavilanes;Ávila
Gaztelu;Gipuzkoa
Gea de Albarracín;Teruel
Gejuelo del Barro;Salamanca
Geldo;Castellón
Gelida;Barcelona
Gelsa;Zaragoza
Gelves;Sevilla
Gema;Zamora
Gemuño;Ávila
Genalguacil;Málaga
Génave;Jaén
Genevilla;Navarra
Genovés;Valencia
Ger;Girona
Gerena;Sevilla
Gérgal;Almería
Geria;Valladolid
Gerindote;Toledo
Gernika-Lumo;Vizcaya
Gestalgar;Valencia
Getafe;Madrid
Getaria;Gipuzkoa
Getxo;Vizcaya
Gibraleón;Huelva
Gijón;Asturias
Gil García;Ávila
Gilbuena;Ávila
Gilena;Sevilla
Gilet;Valencia
Gimenells i el Pla de la Font;Lleida
Gimialcón;Ávila
Gimileo;La Rioja
Ginebrosa, La;Teruel
