name,state
Villabuena de Álava/Eskuernaga,Álava
Vitoria-Gasteiz,Álava
Yécora/Iekora,Álava
Zalduondo,Álava
Zambrana,Álava
Zigoitia,Álava
Zuia,Álava
Abengibre,Albacete
Alatoz,Albacete
Albacete,Albacete
Albatana,Albacete
Alborea,Albacete
Alcadozo,Albacete
Alcalá del Júcar,Albacete
Alcaraz,Albacete
Almansa,Albacete
Alpera,Albacete
Ayna,Albacete
Balazote,Albacete
"Ballestero, El",Albacete
Balsa de Ves,Albacete
Barrax,Albacete
Bienservida,Albacete
Bogarra,Albacete
Bonete,Albacete
"Bonillo, El",Albacete
Carcelén,Albacete
Casas de Juan Núñez,Albacete
Casas de Lázaro,Albacete
Casas de Ves,Albacete
Casas-Ibáñez,Albacete
Caudete,Albacete
Cenizate,Albacete
Chinchilla de Monte-Aragón,Albacete
Corral-Rubio,Albacete
Cotillas,Albacete
Elche de la Sierra,Albacete
Férez,Albacete
Fuensanta,Albacete
Fuente-Álamo,Albacete
Fuentealbilla,Albacete
"Gineta, La",Albacete
Golosalvo,Albacete
Hellín,Albacete
"Herrera, La",Albacete
Higueruela,Albacete
Hoya-Gonzalo,Albacete
Jorquera,Albacete
Letur,Albacete
Lezuza,Albacete
Liétor,Albacete
Madrigueras,Albacete
Mahora,Albacete
Masegoso,Albacete
Minaya,Albacete
Molinicos,Albacete
Montalvos,Albacete
Montealegre del Castillo,Albacete
Motilleja,Albacete
Munera,Albacete
Navas de Jorquera,Albacete
Nerpio,Albacete
Ontur,Albacete
Ossa de Montiel,Albacete
Paterna del Madera,Albacete
Peñas de San Pedro,Albacete
Peñascosa,Albacete
Pétrola,Albacete
Povedilla,Albacete
Pozo Cañada,Albacete
Pozohondo,Albacete
Pozo-Lorente,Albacete
Pozuelo,Albacete
"Recueja, La",Albacete
Riópar,Albacete
Robledo,Albacete
"Roda, La",Albacete
Salobre,Albacete
San Pedro,Albacete
Socovos,Albacete
Tarazona de la Mancha,Albacete
Tobarra,Albacete
Valdeganga,Albacete
Vianos,Albacete
Villa de Ves,Albacete
Villalgordo del Júcar,Albacete
Villamalea,Albacete
Villapalacios,Albacete
Villarrobledo,Albacete
Villatoya,Albacete
Villavaliente,Albacete
Villaverde de Guadalimar,Albacete
Viveros,Albacete
Yeste,Albacete
Adsubia,Alicante
Agost,Alicante
Agres,Alicante
Aigües,Alicante
Albatera,Alicante
Alcalalí,Alicante
Alcocer de Planes,Alicante
Alcoleja,Alicante
Alcoy/Alcoi,Alicante
Alfafara,Alicante
"Alfàs del Pi, l'",Alicante
Algorfa,Alicante
Algueña,Alicante
Alicante/Alacant,Alicante
Almoradí,Alicante
Almudaina,Alicante
"Alqueria d'Asnar, l'",Alicante
Altea,Alicante
Aspe,Alicante
Balones,Alicante
Banyeres de Mariola,Alicante
Benasau,Alicante
Beneixama,Alicante
Benejúzar,Alicante
Benferri,Alicante
Beniarbeig,Alicante
Beniardá,Alicante
Beniarrés,Alicante
Benidoleig,Alicante
Benidorm,Alicante
Benifallim,Alicante
Benifato,Alicante
Benigembla,Alicante
Benijófar,Alicante
Benilloba,Alicante
Benillup,Alicante
Benimantell,Alicante
Benimarfull,Alicante
Benimassot,Alicante
Benimeli,Alicante
Benissa,Alicante
"Benitachell/Poble Nou de Benitatxell, el",Alicante
Biar,Alicante
Bigastro,Alicante
Bolulla,Alicante
Busot,Alicante
Callosa de Segura,Alicante
Callosa d'En Sarrià,Alicante
Calp,Alicante
"Campello, el",Alicante
"Campo de Mirra/Camp de Mirra, el",Alicante
Cañada,Alicante
Castalla,Alicante
Castell de Castells,Alicante
"Castell de Guadalest, el",Alicante
Catral,Alicante
Cocentaina,Alicante
Confrides,Alicante
Cox,Alicante
Crevillent,Alicante
Daya Nueva,Alicante
Daya Vieja,Alicante
Dénia,Alicante
Dolores,Alicante
Elche/Elx,Alicante
Elda,Alicante
Facheca,Alicante
Famorca,Alicante
Finestrat,Alicante
"Fondó de les Neus, el/Hondón de las Nieves",Alicante
Formentera del Segura,Alicante
Gaianes,Alicante
Gata de Gorgos,Alicante
Gorga,Alicante
Granja de Rocamora,Alicante
Guardamar del Segura,Alicante
Hondón de los Frailes,Alicante
Ibi,Alicante
Jacarilla,Alicante
Jávea/Xàbia,Alicante
Jijona/Xixona,Alicante
Llíber,Alicante
"Lorcha/Orxa, l'",Alicante
Millena,Alicante
Monforte del Cid,Alicante
Monóvar/Monòver,Alicante
"Montesinos, Los",Alicante
Murla,Alicante
Muro de Alcoy,Alicante
Mutxamel,Alicante
Novelda,Alicante
"Nucia, la",Alicante
Ondara,Alicante
Onil,Alicante
Orba,Alicante
Orihuela,Alicante
Orxeta,Alicante
Parcent,Alicante
Pedreguer,Alicante
Pego,Alicante
Penàguila,Alicante
Petrer,Alicante
Pilar de la Horadada,Alicante
"Pinós, el/Pinoso",Alicante
Planes,Alicante
"Poblets, els",Alicante
Polop,Alicante
Quatretondeta,Alicante
Rafal,Alicante
"Ràfol d'Almúnia, el",Alicante
Redován,Alicante
Relleu,Alicante
Rojales,Alicante
"Romana, la",Alicante
Sagra,Alicante
Salinas,Alicante
San Fulgencio,Alicante
San Isidro,Alicante
San Miguel de Salinas,Alicante
San Vicente del Raspeig/Sant Vicent del Raspeig,Alicante
Sanet y Negrals,Alicante
Sant Joan d'Alacant,Alicante
Santa Pola,Alicante
Sax,Alicante
Sella,Alicante
Senija,Alicante
Tàrbena,Alicante
Teulada,Alicante
Tibi,Alicante
Tollos,Alicante
Tormos,Alicante
"Torremanzanas/Torre de les Maçanes, la",Alicante
Torrevieja,Alicante
"Vall d'Alcalà, la",Alicante
Vall de Gallinera,Alicante
"Vall de Laguar, la",Alicante
"Vall d'Ebo, la",Alicante
"Verger, el",Alicante
"Villajoyosa/Vila Joiosa, la",Alicante
Villena,Alicante
Xaló,Alicante
Abla,Almería
Abrucena,Almería
Adra,Almería
Albánchez,Almería
Alboloduy,Almería
Albox,Almería
Alcolea,Almería
Alcóntar,Almería
Alcudia de Monteagud,Almería
Alhabia,Almería
Alhama de Almería,Almería
Alicún,Almería
Almería,Almería
Almócita,Almería
Alsodux,Almería
Antas,Almería
Arboleas,Almería
Armuña de Almanzora,Almería
Bacares,Almería
Bayárcal,Almería
Bayarque,Almería
Bédar,Almería
Beires,Almería
Benahadux,Almería
Benitagla,Almería
Benizalón,Almería
Bentarique,Almería
Berja,Almería
Canjáyar,Almería
Cantoria,Almería
Carboneras,Almería
Castro de Filabres,Almería
Chercos,Almería
Chirivel,Almería
Cóbdar,Almería
Cuevas del Almanzora,Almería
Dalías,Almería
"Ejido, El",Almería
Enix,Almería
Felix,Almería
Fines,Almería
Fiñana,Almería
Fondón,Almería
Gádor,Almería
"Gallardos, Los",Almería
Garrucha,Almería
Gérgal,Almería
Huécija,Almería
Huércal de Almería,Almería
Huércal-Overa,Almería
Illar,Almería
Instinción,Almería
Laroya,Almería
Láujar de Andarax,Almería
Líjar,Almería
Lubrín,Almería
Lucainena de las Torres,Almería
Lúcar,Almería
Macael,Almería
María,Almería
Mojácar,Almería
"Mojonera, La",Almería
Nacimiento,Almería
Níjar,Almería
Ohanes,Almería
Olula de Castro,Almería
Olula del Río,Almería
Oria,Almería
Padules,Almería
Partaloa,Almería
Paterna del Río,Almería
Pechina,Almería
Pulpí,Almería
Purchena,Almería
Rágol,Almería
Rioja,Almería
Roquetas de Mar,Almería
Santa Cruz de Marchena,Almería
Santa Fe de Mondújar,Almería
Senés,Almería
Serón,Almería
Sierro,Almería
Somontín,Almería
Sorbas,Almería
Suflí,Almería
Tabernas,Almería
Taberno,Almería
Tahal,Almería
Terque,Almería
Tíjola,Almería
"Tres Villas, Las",Almería
Turre,Almería
Turrillas,Almería
Uleila del Campo,Almería
Urrácal,Almería
Velefique,Almería
Vélez-Blanco,Almería
Vélez-Rubio,Almería
Vera,Almería
Viator,Almería
Vícar,Almería
Zurgena,Almería
Allande,Asturias
Aller,Asturias
Amieva,Asturias
Avilés,Asturias
Belmonte de Miranda,Asturias
Bimenes,Asturias
Boal,Asturias
Cabrales,Asturias
Cabranes,Asturias
Candamo,Asturias
Cangas de Onís,Asturias
Cangas del Narcea,Asturias
Caravia,Asturias
Carreño,Asturias
Caso,Asturias
Castrillón,Asturias
Castropol,Asturias
Coaña,Asturias
Colunga,Asturias
Corvera de Asturias,Asturias
Cudillero,Asturias
Degaña,Asturias
"Franco, El",Asturias
Gijón,Asturias
Gozón,Asturias
Grado,Asturias
Grandas de Salime,Asturias
Ibias,Asturias
Illano,Asturias
Illas,Asturias
Langreo,Asturias
Laviana,Asturias
Lena,Asturias
Llanera,Asturias
Llanes,Asturias
Mieres,Asturias
Morcín,Asturias
Muros de Nalón,Asturias
Nava,Asturias
Navia,Asturias
Noreña,Asturias
Onís,Asturias
Oviedo,Asturias
Parres,Asturias
Peñamellera Alta,Asturias
Peñamellera Baja,Asturias
Pesoz,Asturias
Piloña,Asturias
Ponga,Asturias
Pravia,Asturias
Proaza,Asturias
Quirós,Asturias
"Regueras, Las",Asturias
Ribadedeva,Asturias
Ribadesella,Asturias
Ribera de Arriba,Asturias
Riosa,Asturias
Salas,Asturias
San Martín de Oscos,Asturias
San Martín del Rey Aurelio,Asturias
San Tirso de Abres,Asturias
Santa Eulalia de Oscos,Asturias
Santo Adriano,Asturias
Sariego,Asturias
Siero,Asturias
Sobrescobio,Asturias
Somiedo,Asturias
Soto del Barco,Asturias
Tapia de Casariego,Asturias
Taramundi,Asturias
Teverga,Asturias
Tineo,Asturias
Valdés,Asturias
Vegadeo,Asturias
Villanueva de Oscos,Asturias
Villaviciosa,Asturias
Villayón,Asturias
Yernes y Tameza,Asturias
Adanero,Ávila
"Adrada, La",Ávila
Albornos,Ávila
Aldeanueva de Santa Cruz,Ávila
Aldeaseca,Ávila
"Aldehuela, La",Ávila
Amavida,Ávila
"Arenal, El",Ávila
Arenas de San Pedro,Ávila
Arevalillo,Ávila
Arévalo,Ávila
Aveinte,Ávila
Avellaneda,Ávila
Ávila,Ávila
"Barco de Ávila, El",Ávila
"Barraco, El",Ávila
Barromán,Ávila
Becedas,Ávila
Becedillas,Ávila
Bercial de Zapardiel,Ávila
"Berlanas, Las",Ávila
Bernuy-Zapardiel,Ávila
Berrocalejo de Aragona,Ávila
Blascomillán,Ávila
Blasconuño de Matacabras,Ávila
Blascosancho,Ávila
"Bohodón, El",Ávila
Bohoyo,Ávila
Bonilla de la Sierra,Ávila
Brabos,Ávila
Bularros,Ávila
Burgohondo,Ávila
Cabezas de Alambre,Ávila
Cabezas del Pozo,Ávila
Cabezas del Villar,Ávila
Cabizuela,Ávila
Canales,Ávila
Candeleda,Ávila
Cantiveros,Ávila
Cardeñosa,Ávila
"Carrera, La",Ávila
Casas del Puerto,Ávila
Casasola,Ávila
Casavieja,Ávila
Casillas,Ávila
Castellanos de Zapardiel,Ávila
Cebreros,Ávila
Cepeda la Mora,Ávila
Chamartín,Ávila
Cillán,Ávila
Cisla,Ávila
"Colilla, La",Ávila
Collado de Contreras,Ávila
Collado del Mirón,Ávila
Constanzana,Ávila
Crespos,Ávila
Cuevas del Valle,Ávila
Diego del Carpio,Ávila
Donjimeno,Ávila
Donvidas,Ávila
Espinosa de los Caballeros,Ávila
Flores de Ávila,Ávila
Fontiveros,Ávila
Fresnedilla,Ávila
"Fresno, El",Ávila
Fuente el Saúz,Ávila
Fuentes de Año,Ávila
Gallegos de Altamiros,Ávila
Gallegos de Sobrinos,Ávila
Garganta del Villar,Ávila
Gavilanes,Ávila
Gemuño,Ávila
Gil García,Ávila
Gilbuena,Ávila
Gimialcón,Ávila
Gotarrendura,Ávila
Grandes y San Martín,Ávila
Guisando,Ávila
Gutierre-Muñoz,Ávila
Hernansancho,Ávila
Herradón de Pinares,Ávila
Herreros de Suso,Ávila
Higuera de las Dueñas,Ávila
"Hija de Dios, La",Ávila
"Horcajada, La",Ávila
Horcajo de las Torres,Ávila
"Hornillo, El",Ávila
"Hoyo de Pinares, El",Ávila
Hoyocasero,Ávila
Hoyorredondo,Ávila
Hoyos de Miguel Muñoz,Ávila
Hoyos del Collado,Ávila
Hoyos del Espino,Ávila
Hurtumpascual,Ávila
Junciana,Ávila
Langa,Ávila
Lanzahíta,Ávila
"Llanos de Tormes, Los",Ávila
"Losar del Barco, El",Ávila
Madrigal de las Altas Torres,Ávila
Maello,Ávila
Malpartida de Corneja,Ávila
Mamblas,Ávila
Mancera de Arriba,Ávila
Manjabálago,Ávila
Marlín,Ávila
Martiherrero,Ávila
Martínez,Ávila
Mediana de Voltoya,Ávila
Medinilla,Ávila
Mengamuñoz,Ávila
Mesegar de Corneja,Ávila
Mijares,Ávila
Mingorría,Ávila
"Mirón, El",Ávila
Mironcillo,Ávila
Mirueña de los Infanzones,Ávila
Mombeltrán,Ávila
Monsalupe,Ávila
Moraleja de Matacabras,Ávila
Muñana,Ávila
Muñico,Ávila
Muñogalindo,Ávila
Muñogrande,Ávila
Muñomer del Peco,Ávila
Muñopepe,Ávila
Muñosancho,Ávila
Muñotello,Ávila
Narrillos del Álamo,Ávila
Narrillos del Rebollar,Ávila
Narros de Saldueña,Ávila
Narros del Castillo,Ávila
Narros del Puerto,Ávila
Nava de Arévalo,Ávila
Nava del Barco,Ávila
Navacepedilla de Corneja,Ávila
Navadijos,Ávila
Navaescurial,Ávila
Navahondilla,Ávila
Navalacruz,Ávila
Navalmoral,Ávila
Navalonguilla,Ávila
Navalosa,Ávila
Navalperal de Pinares,Ávila
Navalperal de Tormes,Ávila
Navaluenga,Ávila
Navaquesera,Ávila
Navarredonda de Gredos,Ávila
Navarredondilla,Ávila
Navarrevisca,Ávila
"Navas del Marqués, Las",Ávila
Navatalgordo,Ávila
Navatejares,Ávila
Neila de San Miguel,Ávila
Niharra,Ávila
Ojos-Albos,Ávila
Orbita,Ávila
"Oso, El",Ávila
Padiernos,Ávila
Pajares de Adaja,Ávila
Palacios de Goda,Ávila
Papatrigo,Ávila
"Parral, El",Ávila
Pascualcobo,Ávila
Pedro Bernardo,Ávila
Pedro-Rodríguez,Ávila
Peguerinos,Ávila
Peñalba de Ávila,Ávila
Piedrahíta,Ávila
Piedralaves,Ávila
Poveda,Ávila
Poyales del Hoyo,Ávila
Pozanco,Ávila
Pradosegar,Ávila
Puerto Castilla,Ávila
Rasueros,Ávila
Riocabado,Ávila
Riofrío,Ávila
Rivilla de Barajas,Ávila
Salobral,Ávila
Salvadiós,Ávila
San Bartolomé de Béjar,Ávila
San Bartolomé de Corneja,Ávila
San Bartolomé de Pinares,Ávila
San Esteban de los Patos,Ávila
San Esteban de Zapardiel,Ávila
San Esteban del Valle,Ávila
San García de Ingelmos,Ávila
San Juan de Gredos,Ávila
San Juan de la Encinilla,Ávila
San Juan de la Nava,Ávila
San Juan del Molinillo,Ávila
San Juan del Olmo,Ávila
San Lorenzo de Tormes,Ávila
San Martín de la Vega del Alberche,Ávila
San Martín del Pimpollar,Ávila
San Miguel de Corneja,Ávila
San Miguel de Serrezuela,Ávila
San Pascual,Ávila
San Pedro del Arroyo,Ávila
San Vicente de Arévalo,Ávila
Sanchidrián,Ávila
Sanchorreja,Ávila
Santa Cruz de Pinares,Ávila
Santa Cruz del Valle,Ávila
Santa María de los Caballeros,Ávila
Santa María del Arroyo,Ávila
Santa María del Berrocal,Ávila
Santa María del Cubillo,Ávila
Santa María del Tiétar,Ávila
Santiago del Collado,Ávila
Santiago del Tormes,Ávila
Santo Domingo de las Posadas,Ávila
Santo Tomé de Zabarcos,Ávila
"Serrada, La",Ávila
Serranillos,Ávila
Sigeres,Ávila
Sinlabajos,Ávila
Solana de Ávila,Ávila
Solana de Rioalmar,Ávila
Solosancho,Ávila
Sotalbo,Ávila
Sotillo de la Adrada,Ávila
"Tiemblo, El",Ávila
Tiñosillos,Ávila
Tolbaños,Ávila
Tormellas,Ávila
Tornadizos de Ávila,Ávila
"Torre, La",Ávila
Tórtoles,Ávila
Umbrías,Ávila
Vadillo de la Sierra,Ávila
Valdecasa,Ávila
Vega de Santa María,Ávila
Velayos,Ávila
Villaflor,Ávila
Villafranca de la Sierra,Ávila
Villanueva de Ávila,Ávila
Villanueva de Gómez,Ávila
Villanueva del Aceral,Ávila
Villanueva del Campillo,Ávila
Villar de Corneja,Ávila
Villarejo del Valle,Ávila
Villatoro,Ávila
Viñegra de Moraña,Ávila
Vita,Ávila
Zapardiel de la Cañada,Ávila
Zapardiel de la Ribera,Ávila
Acedera,Badajoz
Aceuchal,Badajoz
Ahillones,Badajoz
Alange,Badajoz
"Albuera, La",Badajoz
Alburquerque,Badajoz
Alconchel,Badajoz
Alconera,Badajoz
Aljucén,Badajoz
Almendral,Badajoz
Almendralejo,Badajoz
Arroyo de San Serván,Badajoz
Atalaya,Badajoz
Azuaga,Badajoz
Badajoz,Badajoz
Barcarrota,Badajoz
Baterno,Badajoz
Benquerencia de la Serena,Badajoz
Berlanga,Badajoz
Bienvenida,Badajoz
Bodonal de la Sierra,Badajoz
Burguillos del Cerro,Badajoz
Cabeza del Buey,Badajoz
Cabeza la Vaca,Badajoz
Calamonte,Badajoz
Calera de León,Badajoz
Calzadilla de los Barros,Badajoz
Campanario,Badajoz
Campillo de Llerena,Badajoz
Capilla,Badajoz
Carmonita,Badajoz
"Carrascalejo, El",Badajoz
Casas de Don Pedro,Badajoz
Casas de Reina,Badajoz
Castilblanco,Badajoz
Castuera,Badajoz
Cheles,Badajoz
"Codosera, La",Badajoz
Cordobilla de Lácara,Badajoz
"Coronada, La",Badajoz
Corte de Peleas,Badajoz
Cristina,Badajoz
Don Álvaro,Badajoz
Don Benito,Badajoz
Entrín Bajo,Badajoz
Esparragalejo,Badajoz
Esparragosa de la Serena,Badajoz
Esparragosa de Lares,Badajoz
Feria,Badajoz
Fregenal de la Sierra,Badajoz
Fuenlabrada de los Montes,Badajoz
Fuente de Cantos,Badajoz
Fuente del Arco,Badajoz
Fuente del Maestre,Badajoz
Fuentes de León,Badajoz
Garbayuela,Badajoz
Garlitos,Badajoz
"Garrovilla, La",Badajoz
Granja de Torrehermosa,Badajoz
Guareña,Badajoz
"Haba, La",Badajoz
Helechosa de los Montes,Badajoz
Herrera del Duque,Badajoz
Higuera de la Serena,Badajoz
Higuera de Llerena,Badajoz
Higuera de Vargas,Badajoz
Higuera la Real,Badajoz
Hinojosa del Valle,Badajoz
Hornachos,Badajoz
Jerez de los Caballeros,Badajoz
"Lapa, La",Badajoz
Llera,Badajoz
Llerena,Badajoz
Lobón,Badajoz
Magacela,Badajoz
Maguilla,Badajoz
Malcocinado,Badajoz
Malpartida de la Serena,Badajoz
Manchita,Badajoz
Medellín,Badajoz
Medina de las Torres,Badajoz
Mengabril,Badajoz
Mérida,Badajoz
Mirandilla,Badajoz
Monesterio,Badajoz
Montemolín,Badajoz
Monterrubio de la Serena,Badajoz
Montijo,Badajoz
"Morera, La",Badajoz
"Nava de Santiago, La",Badajoz
Navalvillar de Pela,Badajoz
Nogales,Badajoz
Oliva de la Frontera,Badajoz
Oliva de Mérida,Badajoz
Olivenza,Badajoz
Orellana de la Sierra,Badajoz
Orellana la Vieja,Badajoz
Palomas,Badajoz
"Parra, La",Badajoz
Peñalsordo,Badajoz
Peraleda del Zaucejo,Badajoz
Puebla de Alcocer,Badajoz
Puebla de la Calzada,Badajoz
Puebla de la Reina,Badajoz
Puebla de Obando,Badajoz
Puebla de Sancho Pérez,Badajoz
Puebla del Maestre,Badajoz
Puebla del Prior,Badajoz
Pueblonuevo del Guadiana,Badajoz
Quintana de la Serena,Badajoz
Reina,Badajoz
Rena,Badajoz
Retamal de Llerena,Badajoz
Ribera del Fresno,Badajoz
Risco,Badajoz
"Roca de la Sierra, La",Badajoz
Salvaleón,Badajoz
Salvatierra de los Barros,Badajoz
San Pedro de Mérida,Badajoz
San Vicente de Alcántara,Badajoz
Sancti-Spíritus,Badajoz
Santa Amalia,Badajoz
Santa Marta,Badajoz
"Santos de Maimona, Los",Badajoz
Segura de León,Badajoz
Siruela,Badajoz
Solana de los Barros,Badajoz
Talarrubias,Badajoz
Talavera la Real,Badajoz
Táliga,Badajoz
Tamurejo,Badajoz
Torre de Miguel Sesmero,Badajoz
Torremayor,Badajoz
Torremejía,Badajoz
Trasierra,Badajoz
Trujillanos,Badajoz
Usagre,Badajoz
Valdecaballeros,Badajoz
Valdelacalzada,Badajoz
Valdetorres,Badajoz
Valencia de las Torres,Badajoz
Valencia del Mombuey,Badajoz
Valencia del Ventoso,Badajoz
Valle de la Serena,Badajoz
Valle de Matamoros,Badajoz
Valle de Santa Ana,Badajoz
Valverde de Burguillos,Badajoz
Valverde de Leganés,Badajoz
Valverde de Llerena,Badajoz
Valverde de Mérida,Badajoz
Villafranca de los Barros,Badajoz
Villagarcía de la Torre,Badajoz
Villagonzalo,Badajoz
Villalba de los Barros,Badajoz
Villanueva de la Serena,Badajoz
Villanueva del Fresno,Badajoz
Villar de Rena,Badajoz
Villar del Rey,Badajoz
Villarta de los Montes,Badajoz
Zafra,Badajoz
Zahínos,Badajoz
Zalamea de la Serena,Badajoz
"Zarza, La",Badajoz
Zarza-Capilla,Badajoz
Abrera,Barcelona
Aguilar de Segarra,Barcelona
Aiguafreda,Barcelona
Alella,Barcelona
Alpens,Barcelona
"Ametlla del Vallès, L'",Barcelona
Arenys de Mar,Barcelona
Arenys de Munt,Barcelona
Argençola,Barcelona
Argentona,Barcelona
Artés,Barcelona
Avià,Barcelona
Avinyó,Barcelona
Avinyonet del Penedès,Barcelona
Badalona,Barcelona
Badia del Vallès,Barcelona
Bagà,Barcelona
Balenyà,Barcelona
Balsareny,Barcelona
Barberà del Vallès,Barcelona
Barcelona,Barcelona
Begues,Barcelona
Bellprat,Barcelona
Berga,Barcelona
Bigues i Riells,Barcelona
Borredà,Barcelona
"Bruc, El",Barcelona
"Brull, El",Barcelona
"Cabanyes, Les",Barcelona
Cabrera d'Anoia,Barcelona
Cabrera de Mar,Barcelona
Cabrils,Barcelona
Calaf,Barcelona
Calders,Barcelona
Caldes de Montbui,Barcelona
Caldes d'Estrac,Barcelona
Calella,Barcelona
Calldetenes,Barcelona
Callús,Barcelona
Calonge de Segarra,Barcelona
Campins,Barcelona
Canet de Mar,Barcelona
Canovelles,Barcelona
Cànoves i Samalús,Barcelona
Canyelles,Barcelona
Capellades,Barcelona
Capolat,Barcelona
Cardedeu,Barcelona
Cardona,Barcelona
Carme,Barcelona
Casserres,Barcelona
Castell de l'Areny,Barcelona
Castellar de n'Hug,Barcelona
Castellar del Riu,Barcelona
Castellar del Vallès,Barcelona
Castellbell i el Vilar,Barcelona
Castellbisbal,Barcelona
Castellcir,Barcelona
Castelldefels,Barcelona
Castellet i la Gornal,Barcelona
Castellfollit de Riubregós,Barcelona
Castellfollit del Boix,Barcelona
Castellgalí,Barcelona
Castellnou de Bages,Barcelona
Castellolí,Barcelona
Castellterçol,Barcelona
Castellví de la Marca,Barcelona
Castellví de Rosanes,Barcelona
Centelles,Barcelona
Cercs,Barcelona
Cerdanyola del Vallès,Barcelona
Cervelló,Barcelona
Collbató,Barcelona
Collsuspina,Barcelona
Copons,Barcelona
Corbera de Llobregat,Barcelona
Cornellà de Llobregat,Barcelona
Cubelles,Barcelona
Dosrius,Barcelona
Esparreguera,Barcelona
Esplugues de Llobregat,Barcelona
"Espunyola, L'",Barcelona
"Estany, L'",Barcelona
Figaró-Montmany,Barcelona
Fígols,Barcelona
Fogars de la Selva,Barcelona
Fogars de Montclús,Barcelona
Folgueroles,Barcelona
Fonollosa,Barcelona
Font-rubí,Barcelona
"Franqueses del Vallès, Les",Barcelona
Gaià,Barcelona
Gallifa,Barcelona
"Garriga, La",Barcelona
Gavà,Barcelona
Gelida,Barcelona
Gironella,Barcelona
Gisclareny,Barcelona
"Granada, La",Barcelona
Granera,Barcelona
Granollers,Barcelona
Gualba,Barcelona
Guardiola de Berguedà,Barcelona
Gurb,Barcelona
"Hospitalet de Llobregat, L'",Barcelona
"Hostalets de Pierola, Els",Barcelona
Igualada,Barcelona
Jorba,Barcelona
"Llacuna, La",Barcelona
"Llagosta, La",Barcelona
Lliçà d'Amunt,Barcelona
Lliçà de Vall,Barcelona
Llinars del Vallès,Barcelona
Lluçà,Barcelona
Malgrat de Mar,Barcelona
Malla,Barcelona
Manlleu,Barcelona
Manresa,Barcelona
Marganell,Barcelona
Martorell,Barcelona
Martorelles,Barcelona
